id_instrumento,produto,lado,tipo_taxa,moeda,prazo_anos,nocional,taxa_cupom
I0047,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2384551.348416571,0.0619213569716199
I0048,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1218697.995156793,0.1077109251325292
I0049,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1985117.94917434,0.113629853843722
I0050,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,2035741.229815647,0.1153634432643922
I0051,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2004606.149964632,0.1016615238879911
I0052,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2229664.595688934,0.1085186330213113
I0053,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2006353.8806189,0.1103976764868525
I0054,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1145988.8606813352,0.1048316189216152
I0055,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1242793.7590166891,0.1001215454947796
I0056,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1162188.477954689,0.142779078680863
I0057,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,2291608.2254011086,0.1422476999952763
I0058,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,2176210.503723074,0.1254261067924696
I0059,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2376072.298038382,0.1147737885892106
I0060,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1763898.9352388058,0.0840687476031541
I0061,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1844205.1726491265,0.123260967000452
I0062,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2057660.44564812,0.1279168043403464
I0063,Credito_Prefixado,Ativo,Prefixada,USD,7.0,1795426.7812365785,0.1107523226596477
I0064,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,1594865.910243562,0.1487553857717244
I0065,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1406311.8599178293,0.0911289301552781
I0066,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1085958.51713675,0.1686873656427134
I0067,Credito_Prefixado,Ativo,Prefixada,USD,20.0,1311354.759891824,0.1396202892044801
I0068,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2133108.68675171,0.1131304506314085
I0069,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,1586985.6316511943,0.088869399369879
I0070,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2198606.7627629605,0.0744483609039718
I0071,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1992573.789763571,0.113724224396819
I0072,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2226697.685020712,0.1413092745589973
I0073,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1280045.1781142077,0.1131923269937455
I0074,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2304987.333946335,0.1805433167026734
I0075,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1357437.5758470302,0.0810552296507814
I0076,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2215650.3460268555,0.107572289275355
I0077,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2242525.126598299,0.1408665726388263
I0078,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,2401670.6042482127,0.1082109340764819
I0079,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1448531.736417175,0.0770086569009396
I0080,Credito_Prefixado,Ativo,Prefixada,USD,10.0,2129587.429594587,0.1592055367101704
I0081,Credito_Prefixado,Ativo,Prefixada,USD,2.0,2315374.864866156,0.1030688506852303
I0082,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,2396995.134020504,0.1338090309364854
I0083,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1915191.539750178,0.1592844102140016
I0084,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1651470.8009007596,0.1379337265358875
I0085,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,1485579.5815667275,0.1278708107580904
I0086,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,2295559.3448367333,0.0769874899848964
I0087,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1711288.901796811,0.0974337080507083
I0088,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1154342.4938653174,0.0888512114896044
I0089,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1678224.4538508595,0.1119568892092682
I0090,Credito_Prefixado,Ativo,Prefixada,USD,5.0,1164010.9984434664,0.1972207087582011
I0091,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,1510036.484770806,0.118720998130307
I0092,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2391632.585981831,0.1359017758731338
I0093,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1648900.3327612262,0.084940747393068
I0094,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1073892.3489375983,0.0651627234384835
I0095,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2280280.0610682494,0.1125385701224821
I0096,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2483131.601424551,0.0881792248130452
I0097,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2220996.8966395315,0.1747721426063128
I0098,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1938825.734409781,0.1114490726234824
I0099,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,2490476.144943271,0.1293487426702379
I0100,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1913936.055543723,0.1112155350304106
I0101,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,2013589.1438447607,0.1230303791898565
I0102,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1894567.9777454971,0.1027434647960165
I0103,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2021143.9507356395,0.113069052348762
I0104,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1261780.0117399143,0.1048732074562903
I0105,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1100263.4551529137,0.0737345368342088
I0106,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,2142238.08940876,0.1133976366878414
I0107,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,2332176.7944664704,0.1393075613829938
I0108,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1488490.725644903,0.0970436386623593
I0109,Credito_Prefixado,Ativo,Prefixada,BRL,20.0,2002800.632853804,0.103257390005597
I0110,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1605610.1083591722,0.07059322553854
I0111,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,2182392.5426685917,0.1542922676551696
I0112,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2010699.0004233492,0.1075281385697391
I0113,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1809673.799187293,0.1075488567364936
I0114,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1809896.950848558,0.1145291712209162
I0115,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1380484.014479583,0.1122570338106142
I0116,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1244049.4656939956,0.1390651790445899
I0117,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1940297.873295646,0.1127261580802874
I0118,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1154524.1304618565,0.1401828830449986
I0119,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2054891.8078843076,0.1600524250590215
I0120,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2312143.088516776,0.1425823971449501
I0121,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2168223.5619606874,0.1521555818596461
I0122,Credito_Prefixado,Ativo,Prefixada,USD,2.0,1970862.6104236324,0.1352779497877471
I0123,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,1109531.428066086,0.1191213657260808
I0124,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,2334647.6649648254,0.1678367852351499
I0125,Credito_Prefixado,Ativo,Prefixada,BRL,10.0,1712494.619821663,0.1187294118552865
I0126,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2370744.651864505,0.1232465280489159
I0127,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,2085572.398564176,0.1495290796643268
I0128,Credito_Prefixado,Ativo,Prefixada,BRL,1.0,1083833.712091243,0.0801882587291547
I0129,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2450166.945182834,0.1584387106850912
I0130,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1335120.994035208,0.1268643177581588
I0131,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2264017.0416341457,0.1263453004029741
I0132,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,1123057.6241301051,0.1170800787138446
I0133,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,1297569.8818427457,0.1560746933745768
I0134,Credito_Prefixado,Ativo,Prefixada,BRL,2.0,2013047.7615969928,0.1705464906774761
I0135,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,1290195.5038398164,0.119904171513268
I0136,Credito_Prefixado,Ativo,Prefixada,BRL,5.0,2394083.512289554,0.0866354128177152
I0137,Credito_Prefixado,Ativo,Prefixada,BRL,7.0,2194500.6268332065,0.1029994872948812
I0138,Credito_Prefixado,Ativo,Prefixada,BRL,0.25,2009482.5897365543,0.0860845801048445
I0139,Credito_Prefixado,Ativo,Prefixada,BRL,0.5,2302795.0690506506,0.1364246050146745
I0140,Credito_Prefixado,Ativo,Prefixada,BRL,15.0,1410701.9770032198,0.1421361777189627
I0141,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2197532.9653252307,0.1060699297175809
I0142,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2442191.325538897,0.157193349258211
I0143,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2416571.24197002,0.1043246712357581
I0144,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2061416.0757494972,0.0967630510253139
I0145,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1430710.1399646727,0.08613226932021
I0146,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,1835379.0408557544,0.2069640184067856
I0147,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2255283.7232437544,0.1418276072233105
I0148,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1257925.3176242143,0.1149772761953717
I0149,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1579357.5232217389,0.0973445352539577
I0150,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1705545.329495551,0.0586902574148061
I0151,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1883317.3494498432,0.1512706819717582
I0152,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,1240378.0805596944,0.1023528111702955
I0153,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,2264825.523624398,0.1181527537184851
I0154,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2098436.4104700936,0.1622137957715095
I0155,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1527357.1255070393,0.1278379316258757
I0156,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2225601.806397275,0.0989523447733502
I0157,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2253334.740129452,0.0829450808347356
I0158,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1151999.3941980342,0.1451819015129973
I0159,Credito_CDI,Ativo,Pos_Fixada,USD,0.25,1905006.306221058,0.1215604832778698
I0160,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2294349.721840189,0.058528766094294
I0161,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2192059.864542138,0.1152446282830057
I0162,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1592121.1930401947,0.190079878618418
I0163,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2532183.2370399088,0.1212483104608804
I0164,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,1647713.9338493648,0.2047748090685273
I0165,Credito_CDI,Ativo,Pos_Fixada,USD,0.5,2160065.553013102,0.174427646500454
I0166,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1593827.6166842985,0.1264172702848398
I0167,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,2332669.309024979,0.0959039602917228
I0168,Credito_CDI,Ativo,Pos_Fixada,USD,10.0,1512202.8744346006,0.1121719612981404
I0169,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1991131.1932798664,0.08311797294046
I0170,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2294222.965420245,0.1721262729896128
I0171,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1608487.1172719358,0.03
I0172,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1622056.865296404,0.1477353080494225
I0173,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1647668.58399513,0.1323897852051826
I0174,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,2143148.716829516,0.1554817458215222
I0175,Credito_CDI,Ativo,Pos_Fixada,USD,10.0,1330466.5804597945,0.1272572518504459
I0176,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1365571.343994324,0.0707644430932675
I0177,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1164427.943907631,0.1281690519165525
I0178,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1251308.6560172415,0.1248181496813832
I0179,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,2163447.7379367454,0.1372805224345339
I0180,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1557338.978630171,0.0652615608885842
I0181,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2457680.774972735,0.1373942953214462
I0182,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,2054003.053881812,0.0826321419131614
I0183,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,1262105.0778135266,0.0636514487291003
I0184,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,2012690.7297821965,0.1084941662033461
I0185,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,1832555.2695199829,0.0749586442356959
I0186,Credito_CDI,Ativo,Pos_Fixada,USD,0.25,2033255.5564384423,0.1368089503068031
I0187,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1101868.1611679727,0.1117982934375009
I0188,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1705212.8097334038,0.0803595484402148
I0189,Credito_CDI,Ativo,Pos_Fixada,USD,7.0,1669187.4468334443,0.2119418411368432
I0190,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2396025.6897148807,0.0772880366638882
I0191,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1939332.7764578287,0.1065100038234623
I0192,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2508147.5901725693,0.0779684476782837
I0193,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2430628.745572462,0.1367684186167447
I0194,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1348155.9899577452,0.0683756052453884
I0195,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2153194.632508493,0.1594931984356258
I0196,Credito_CDI,Ativo,Pos_Fixada,USD,0.5,1430685.8685425897,0.119499041607411
I0197,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,2286887.509240963,0.1369059663209224
I0198,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,1338319.8689650877,0.0703780150421793
I0199,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,1319936.859014999,0.1245347169503711
I0200,Credito_CDI,Ativo,Pos_Fixada,USD,0.25,2068610.3957810097,0.1354359757612336
I0201,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,1441091.275876985,0.1583124318655991
I0202,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,2473645.797888476,0.0963671087952517
I0203,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1579426.114492637,0.1447657622213722
I0204,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1627252.657715412,0.0580690797047375
I0205,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2362312.2838902185,0.1270377140469132
I0206,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,2482831.5285075977,0.1342001967249906
I0207,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1208405.1904641257,0.0886286979201491
I0208,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1285825.8302492946,0.1284942677851412
I0209,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,2493544.365536764,0.1788435547129094
I0210,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2389973.7542483443,0.1658235703793853
I0211,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,1916878.515250072,0.1522852507526374
I0212,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2099300.2255390114,0.2030227618751499
I0213,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,2310576.228586518,0.0829764875538233
I0214,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1860541.7983723732,0.0990688628808676
I0215,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1711665.9011247726,0.0906957070915462
I0216,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2416404.3764159265,0.1048224287555204
I0217,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1598853.2647799675,0.0917966729689586
I0218,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1566227.8373907986,0.142750627006332
I0219,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1650129.104309466,0.1238431837480631
I0220,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,2498412.175249332,0.1121876485928276
I0221,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,1315142.2095995129,0.1186285928259994
I0222,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,2401499.3805794325,0.0763440774164105
I0223,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1230386.166661913,0.089332699975722
I0224,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,2069371.8690584828,0.0560195091098145
I0225,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,1172109.4374575175,0.1150357033971722
I0226,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,1950399.6049555829,0.1506525326295513
I0227,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,2491252.9134578784,0.1938442924207244
I0228,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,1791499.9842948164,0.1202165537017552
I0229,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,2100956.8810063866,0.117381175653615
I0230,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2055368.6714911568,0.112310140029225
I0231,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,2129104.416507815,0.1525189873158928
I0232,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1401485.6622133388,0.1155538174082145
I0233,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1712133.0593843472,0.1193778043360319
I0234,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2132575.527826112,0.1566807444771267
I0235,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1187181.5608169874,0.1474291237868871
I0236,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2152628.9706377783,0.1417200992561055
I0237,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,2162420.330939101,0.1041440038154971
I0238,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1192798.2755254495,0.1686031841837593
I0239,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,1590904.800893485,0.1145145030807212
I0240,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1465694.0487991923,0.0895386445813011
I0241,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1688244.2271587057,0.1448745988613736
I0242,Credito_CDI,Ativo,Pos_Fixada,BRL,2.0,1445413.57813783,0.0727222992543924
I0243,Credito_CDI,Ativo,Pos_Fixada,BRL,7.0,1169472.7183868268,0.114202499795045
I0244,Credito_CDI,Ativo,Pos_Fixada,USD,15.0,2464949.7636558805,0.0955841038244476
I0245,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1563192.0657702568,0.0850212922092604
I0246,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,2402709.7422967814,0.1325387731512829
I0247,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2327219.088509119,0.1038222755513754
I0248,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,1456897.021123661,0.0985912236946231
I0249,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,1527492.8944978823,0.1365294685783701
I0250,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,2121558.7261720323,0.0714172876969563
I0251,Credito_CDI,Ativo,Pos_Fixada,BRL,1.0,1375573.8218884217,0.1228098254293456
I0252,Credito_CDI,Ativo,Pos_Fixada,USD,2.0,1788060.26312249,0.1351292550553981
I0253,Credito_CDI,Ativo,Pos_Fixada,USD,7.0,2338134.408759566,0.151595342036645
I0254,Credito_CDI,Ativo,Pos_Fixada,BRL,10.0,1392636.6973553866,0.1356033669726838
I0255,Credito_CDI,Ativo,Pos_Fixada,BRL,0.5,1831895.2453985952,0.1196759283169998
I0256,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,2206090.0957838856,0.0950932236107681
I0257,Credito_CDI,Ativo,Pos_Fixada,BRL,15.0,2076399.1329734111,0.1303080678707913
I0258,Credito_CDI,Ativo,Pos_Fixada,BRL,0.25,2548144.8630353217,0.1326003829101649
I0259,Credito_CDI,Ativo,Pos_Fixada,BRL,20.0,2374723.3516509,0.0903629863899057
I0260,Credito_CDI,Ativo,Pos_Fixada,BRL,5.0,1280422.0391030535,0.1424708997334972
I0261,Captacao_CDI,Passivo,Pos_Fixada,USD,0.25,2522099.8229655954,0.0863297888774233
I0262,Captacao_CDI,Passivo,Pos_Fixada,BRL,0.25,2977829.108708947,0.1658215808746724
I0263,Captacao_CDI,Passivo,Pos_Fixada,BRL,0.5,3511238.671893233,0.1134210011924792
I0264,Captacao_CDI,Passivo,Pos_Fixada,BRL,5.0,2598377.83977061,0.1030606060136431
I0265,Captacao_CDI,Passivo,Pos_Fixada,BRL,2.0,1533436.779383327,0.0672979843991151
I0266,Captacao_CDI,Passivo,Pos_Fixada,BRL,0.5,2282603.124478847,0.1160476942286408
I0267,Captacao_CDI,Passivo,Pos_Fixada,BRL,0.25,2658702.8773588566,0.1223640672141732
I0268,Captacao_CDI,Passivo,Pos_Fixada,BRL,15.0,3423693.4738781825,0.2113597677603343
I0269,Captacao_CDI,Passivo,Pos_Fixada,USD,0.25,2986454.297593949,0.1136717782033708
I0270,Captacao_CDI,Passivo,Pos_Fixada,BRL,1.0,1564286.6566349743,0.0628408869130557
I0271,Captacao_CDI,Passivo,Pos_Fixada,BRL,20.0,2636506.3061956614,0.1381362119739707
I0272,Captacao_CDI,Passivo,Pos_Fixada,BRL,15.0,3214344.184042875,0.1154904765172082
I0273,Captacao_CDI,Passivo,Pos_Fixada,BRL,1.0,3039315.681161431,0.1447219942691081
